ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
static_info_0,의료IT학과,"**전화**: 031-740-7310
**위치**: 뉴밀레니엄센터 4층
**분류**: 빅데이터AI보건융합대학",전화번호부,,성남,,,,
static_info_1,Q. 공결 신청은 어떻게 하나요?,"Q. 공결 신청은 어떻게 하나요?

A. 공결 신청은 아래 순서로 진행돼요.
담당 교수님께 먼저 허락 받기
카톡/이메일/수업 전 직접 말씀드리기 등
EIS에서 공결 신청하기
병결은 진료확인서 등 증빙자료 첨부 필수
⚠️ 저장만 하면 끝 X
해당되는 과목만 선택하기
기본은 해당 날짜 전체 과목 신청
결석이 아닌 과목은 체크 후 삭제 → 저장 → 신청
신청 후 확인 요청하기
과사무실: 031-740-7387
조교에게 연락(카카오워크/카톡)
📌 연락 시 말하는 순서
→ 학번 / 이름 / 전공 먼저 밝히기
기간 주의
공결 신청 및 승인은 해당일 기준 1주일 이내만 가능
📌 과목 용어 정리 (핵교/전필/전선/교필/교선)",FAQ,과목용어,전체,,,,
static_info_2,Q. 학자금 대출,"Q. 학자금 대출

A. 학자금 대출을 실행했을 경우, 등록금이 개인 계좌에 지급되지 않고 바로 한국재단장학으로 넘어가 대출 상환됩니다. 2학기부터는 후지급이 아닌 등록금이 깎이는 선감면 방식으로 지급됩니다.
국가장학금 관련 문의는 한국장학재단으로, 입학장학금 문의는 입학처, 개강 후 교내장학금 문의는 학생지원팀으로!",FAQ,장학금/근로/비용,전체,,,,
static_info_3,성남캠퍼스,"**주소**: (13135) 경기도 성남시 수정구 산성대로 553

**🚌 버스**
- 노선: 52번, 220번, 250번, 303번, 320번, 370번, 380번
- 정류장: 을지대학교 정류장

**🚇 지하철**
- 노선: 수인분당선 (8호선 직결)
- 역: 복정역 또는 수서역

**🚗 자가용**
- 

**🏫 주요 시설**
- 제1캠퍼스
- 제2캠퍼스
- 도서관
- 학생회관
- 기숙사",캠퍼스,,성남,,,,
static_info_4,Q. 에타 재학생 인증하면 뭐가 좋아요?,"Q. 에타 재학생 인증하면 뭐가 좋아요?

A. 재학생 인증 후에는 강의평 포함 모든 게시판 이용이 가능해져요.
또한 모바일 신분증은 도서관/열람실 출입에도 사용할 수 있어요.
📄 증명서 발급 Q&A (대전/성남/의정부 공통)
A. 아니요! 대전캠퍼스 / 성남캠퍼스 / 의정부캠퍼스 모두 동일한 방식으로 증명서 발급이 가능합니다.
1) 🌐 인터넷 증명서 발급
A. 인터넷 증명서 발급 대상은 아래와 같아요.
졸업생
재학생
대학원생
교직원
A. 대상별 발급 가능한 증명서는 아래와 같아요.
① 졸업생
졸업증명서
성적증명서
② 재학생
재학증명서
재적증명서
휴학증명서
수료증명서
수료예정증명서
졸업예정증명서
성적증명서
교육비납입증명서(무료)
③ 대학원생
재학증명서
재적증명서
휴학증명서
수료증명서
수료예정증명서
졸업예정증명서
성적증명서
교육비납입증명서(무료)
④ 교직원
경력증명서
재직증명서
출강증명서
A. 국내/해외 인터넷이 가능한 모든 장소에서 발급할 수 있어요.
A. 아래 순서대로 진행하면 돼요.
인터넷 증명발급 사이트 접속: https://eu.certpia.com
로그인(회원) 또는 비회원 로그인
증명서 발급 클릭
발급 구분 선택
증명서 선택 후 신청내역 확인
결제 후 증명서 발급
A. 아래 결제 수단을 이용할 수 있어요.
신용카드",FAQ,도서관/열람실,성남,,,,
static_info_5,일반 상환 학자금대출,"**분류**: 학자금대출

**대상**: 소득분위 무관

**금액**: 등록금 전액 + 생활비",장학금,장학금/근로/비용,전체,,,,
static_info_6,Q. 개관일 이후 중도 퇴사하면 환불은 어떻게 되나요?,"Q. 개관일 이후 중도 퇴사하면 환불은 어떻게 되나요?

A. 학기 개관일 기준 퇴사 시점에 따라 환불 비율이 달라요.
개관일로부터 1개월 이내: 납부 금액의 75% 환불
1개월 초과 ~ 2개월 이내: 50% 환불
2개월 초과 ~ 3개월 이내: 25% 환불
3개월 초과: 환불 불가",FAQ,기타,전체,,,,
static_info_7,Q. 기숙사 와이파이는 어떤 Wi-Fi를 사용해야 하나요?,"Q. 기숙사 와이파이는 어떤 Wi-Fi를 사용해야 하나요?

A. 기숙사 무선 Wi-Fi는 **eulji-wlan**을 이용하셔야 합니다.",FAQ,LMS/이메일/Wi-Fi/출결,전체,,,,
static_info_8,AI보건의료학과,"**전화**: 031-740-7330
**위치**: 뉴밀레니엄센터 5층
**분류**: 빅데이터AI보건융합대학",전화번호부,,성남,,,,
static_info_9,졸업요건: 졸업논문/시험,**내용**: 졸업논문 또는 종합시험 합격,졸업요건,학점/졸업요건,전체,,,,
