ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
curriculum_0,간호학과(성남) 교육과정 로드맵,"간호대학 간호학과(성남캠퍼스) 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다. 교육과정 로드맵 이미지: https://www.eulji.ac.kr/univ/images/pyo/snurse1.png, https://www.eulji.ac.kr/univ/images/pyo/snurse2.png, https://www.eulji.ac.kr/univ/images/pyo/snurse3.png, https://www.eulji.ac.kr/univ/images/pyo/snurse4.png",학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_1,간호학과(의정부) 교육과정 로드맵,간호대학 간호학과(의정부캠퍼스) 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,의정부,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_2,임상병리학과(성남) 교육과정 로드맵,보건과학대학 임상병리학과(성남캠퍼스) 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_3,임상병리학과(의정부) 교육과정 로드맵,보건과학대학 임상병리학과(의정부캠퍼스) 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,의정부,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_4,안경광학과 교육과정 로드맵,보건과학대학 안경광학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_5,응급구조학과 교육과정 로드맵,보건과학대학 응급구조학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_6,방사선학과 교육과정 로드맵,보건과학대학 방사선학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_7,치위생학과 교육과정 로드맵,보건과학대학 치위생학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_8,물리치료학과 교육과정 로드맵,보건과학대학 물리치료학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_9,식품영양학과 교육과정 로드맵,바이오융합대학 식품영양학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_10,식품산업외식학과 교육과정 로드맵,바이오융합대학 식품산업외식학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_11,보건환경안전학과 교육과정 로드맵,바이오융합대학 보건환경안전학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_12,의료IT학과 교육과정 로드맵,바이오융합대학 의료IT학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_13,빅데이터의료융합학과 교육과정 로드맵,바이오융합대학 빅데이터의료융합학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_14,의료공학과 교육과정 로드맵,바이오융합대학 의료공학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_15,미용화장품과학과 교육과정 로드맵,바이오융합대학 미용화장품과학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_16,의료경영학과 교육과정 로드맵,바이오융합대학 의료경영학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_17,의료홍보디자인학과 교육과정 로드맵,바이오융합대학 의료홍보디자인학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_18,장례지도학과 교육과정 로드맵,바이오융합대학 장례지도학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_19,스포츠아웃도어학과 교육과정 로드맵,바이오융합대학 스포츠아웃도어학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_20,중독재활복지학과 교육과정 로드맵,바이오융합대학 중독재활복지학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_21,유아교육학과 교육과정 로드맵,바이오융합대학 유아교육학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
curriculum_22,아동학과 교육과정 로드맵,바이오융합대학 아동학과 전공 교육과정 로드맵. 학년별 이수 교과목과 전공 교육과정 안내는 교육과정 로드맵 페이지에서 확인 가능합니다.,학사안내,교육과정,성남,Claude Upload Script,2026-02-09T11:25:34.520528+00:00,,
